annee;nb_abo;conso_anu;conso_moy_anu
1995-01-01;247851;29631244;119,6
1996-01-01;253400;30208496;119,2
1997-01-01;258850;30785748;118,9
1998-01-01;264300;30208496;114,3
1999-01-01;269750;30785748;114,1
2000-01-01;275199;31363000;114,0
2001-01-01;280649;31940252;113,8
2002-01-01;286099;32517504;113,7
2003-01-01;291949;34249260;117,3
2004-01-01;301481;34475387;114,4
2005-01-01;306931;34701514;113,1
2006-01-01;312381;34475387;110,4
2007-01-01;317830;34249260;107,8
2008-01-01;323280;34475387;106,6
2009-01-01;328730;34701514;105,6
2010-01-01;334180;34927641;104,5
2011-01-01;339629;34701514;102,2
2012-01-01;345079;34927641;101,2
2013-01-01;365420;35153768;96,2
2014-01-01;367910;36058276;98,0
2015-01-01;377242;36284403;96,2
